popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,followers,monthly_listeners,enwiki_title,pageview_status,pageviews_total,pageview_months,mapping_tier,fua_code,study_city_label,mapped_fua,log10_followers,log10_pageviews,expected_log10_pageviews,attention_residual_log10,follower_rank,pageview_rank
599,0IBAqjHG8DSaD7PPCGnGiZ,Babyshambles,Q797992,291010,198309,Babyshambles,ok,72837,12,strict,UK001F,London,True,5.463907912938484,4.862352049831877,4.9404518595042815,-0.0780998096724046,334.0,444.0
600,4Cyr5aqgXza16isOrQNOvo,Brotherhood of Man,Q832745,61658,196558,Brotherhood of Man,ok,114363,12,excluded_no_defensible_fua,,,False,4.7899894334126945,5.058285539361334,4.458545615922084,0.59973992343925,690.0,333.0
601,5zhn89Em2jWUUWdpcLO3YL,Sea Power,Q920131,106520,196069,Sea Power,ok,56606,12,excluded_no_defensible_fua,,,False,5.0274311577669035,4.7528624670325526,4.6283356616465055,0.1245268053860471,556.0,501.0
602,35S20clEkkSNUo23ViaslZ,Band Aid,Q806231,53354,195618,Band Aid (band),ok,95052,12,strict,UK001F,London,True,4.727166984450405,4.977961259337451,4.41362248157896,0.5643387777584907,719.0,379.0
603,1fy3AQc7grjf5LnCd7snSg,The View,Q578954,156449,195510,The View (band),ok,30894,12,strict,UK550F,Dundee City,True,5.1943727915418485,4.489874142210878,4.7477124380283735,-0.2578382958174954,465.0,645.0
604,1USHlPahTZrCeJXS2v5pkF,Thunderclap Newman,Q2165685,20516,194255,Thunderclap Newman,ok,110449,12,strict,UK001F,London,True,4.312092690393716,5.043161788143642,4.116810775217765,0.9263510129258776,864.0,342.0
605,3vldh5Ceynytj6Iglw4haP,Tommy Lefroy,Q115209312,94042,192772,Tommy Lefroy,ok,2816,12,strict,UK001F,London,True,4.973321856732437,3.4496326504700745,4.589643133103993,-1.1400104826339188,586.0,898.0
606,4JKHXlntTvmZnLxjbeRcPL,City of London Sinfonia,Q2974592,4379,190860,City of London Sinfonia,ok,1687,12,excluded_no_defensible_fua,,,False,3.6413749451921253,3.2271150825891253,3.6371933156676723,-0.41007823307854707,916.0,917.0
607,6WoTvA9qinpHtSRJuldYh6,The Fall,Q909916,224200,190295,The Fall (band),ok,241253,12,strict,UK008F,Manchester,True,5.350635608258955,5.382472722535395,4.859452996127779,0.5230197264076164,391.0,180.0
608,6WH1V41LwGDGmlPUhSZLHO,Autechre,Q247237,284945,187473,,not_captured,0,0,strict,UK008F,Manchester,True,,,,,,
609,2Sp19cOHSqAUlE64hekARW,Teenage Fanclub,Q1515611,164920,186449,Teenage Fanclub,ok,89171,12,strict,UK004F,Glasgow,True,5.2172733261293205,4.950223637024803,4.764088173275815,0.18613546374898782,450.0,396.0
